edition,match_number,match_id,stage,team_id,team,opponent,team_match_number,fouls,source_url,source_archive
2014,61,300186474,semi_final,43924,Brazil,Germany,6,11,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-germany-731827,data/raw/2014/huffpost/matches/731827.html
2014,61,300186474,semi_final,43948,Germany,Brazil,6,14,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-germany-731827,data/raw/2014/huffpost/matches/731827.html
2014,62,300186490,semi_final,43922,Argentina,Netherlands,6,10,https://data.huffingtonpost.com/2014/world-cup/matches/netherlands-vs-argentina-731828,data/raw/2014/huffpost/matches/731828.html
2014,62,300186490,semi_final,43960,Netherlands,Argentina,6,15,https://data.huffingtonpost.com/2014/world-cup/matches/netherlands-vs-argentina-731828,data/raw/2014/huffpost/matches/731828.html
2014,63,300186502,third_place,43924,Brazil,Netherlands,7,16,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-netherlands-731829,data/raw/2014/huffpost/matches/731829.html
2014,63,300186502,third_place,43960,Netherlands,Brazil,7,20,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-netherlands-731829,data/raw/2014/huffpost/matches/731829.html
2014,64,300186501,final,43922,Argentina,Germany,7,16,https://data.huffingtonpost.com/2014/world-cup/matches/germany-vs-argentina-731830,data/raw/2014/huffpost/matches/731830.html
2014,64,300186501,final,43948,Germany,Argentina,7,20,https://data.huffingtonpost.com/2014/world-cup/matches/germany-vs-argentina-731830,data/raw/2014/huffpost/matches/731830.html
2018,1,300331503,group,43835,Saudi Arabia,Russia,1,10,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,1,300331503,group,43965,Russia,Saudi Arabia,1,22,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,2,300353632,group,43855,Egypt,Uruguay,1,12,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,2,300353632,group,43930,Uruguay,Egypt,1,6,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,3,300331524,group,43963,Portugal,Spain,1,12,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,3,300331524,group,43969,Spain,Portugal,1,10,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,4,300331526,group,43817,Iran,Morocco,1,14,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,4,300331526,group,43872,Morocco,Iran,1,22,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,5,300331533,group,43946,France,Australia,1,16,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,5,300331533,group,43976,Australia,France,1,19,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,6,300331528,group,43929,Peru,Denmark,1,10,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,6,300331528,group,43941,Denmark,Peru,1,18,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,7,300331515,group,43922,Argentina,Iceland,1,10,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,7,300331515,group,43951,Iceland,Argentina,1,15,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,8,300331523,group,43876,Nigeria,Croatia,1,16,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,8,300331523,group,43938,Croatia,Nigeria,1,20,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
2018,9,300331525,group,43924,Brazil,Switzerland,1,12,https://raw.githubusercontent.com/Shailesh200/FIFA-2018-Statistics/master/fifa.csv,data/raw/draft_workbook_exports/2018/team-match.csv
